Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Hamidou Diallo\diallha01,SG-SF,22,TOT,41,5,951,178,366,.486,19,56,.339,159,310,.513,.512,102,156,.654,47,158,205,89,37,17,60,104,477
121,Hamidou Diallo\diallha01,SG,22,OKC,32,5,761,143,297,.481,12,41,.293,131,256,.512,.502,83,132,.629,37,128,165,77,31,12,49,83,381
121,Hamidou Diallo\diallha01,SF,22,DET,9,0,190,35,69,.507,7,15,.467,28,54,.519,.558,19,24,.792,10,30,40,12,6,5,11,21,96
122,Gorgui Dieng\dienggo01,C,31,TOT,25,1,395,58,115,.504,24,52,.462,34,63,.540,.609,42,49,.857,28,72,100,29,19,14,24,43,182
122,Gorgui Dieng\dienggo01,C,31,MEM,22,1,371,56,108,.519,23,48,.479,33,60,.550,.625,38,43,.884,28,70,98,29,17,14,22,38,173
122,Gorgui Dieng\dienggo01,C,31,SAS,3,0,24,2,7,.286,1,4,.250,1,3,.333,.357,4,6,.667,0,2,2,0,2,0,2,5,9
123,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,3,64,6,16,.375,2,7,.286,4,9,.444,.438,6,6,1.000,0,13,13,9,2,1,5,4,20
124,Donte DiVincenzo\divindo01,SG,24,MIL,51,51,1405,201,482,.417,103,268,.384,98,214,.458,.524,39,54,.722,63,222,285,158,61,9,72,82,544
125,Luka Dončić\doncilu01,PG,21,DAL,48,48,1682,488,1005,.486,143,391,.366,345,614,.562,.557,252,341,.739,38,345,383,411,46,29,208,105,1371
126,Luguentz Dort\dortlu01,SG,21,OKC,43,43,1268,199,502,.396,89,260,.342,110,242,.455,.485,85,116,.733,29,124,153,68,40,16,63,106,572
127,Damyean Dotson\dotsoda01,SG,26,CLE,35,6,658,87,221,.394,32,115,.278,55,106,.519,.466,22,32,.688,5,65,70,74,14,4,28,31,228
